TF,TG,Score
ID2,PCP4,5141.91
HOXA10,THBS2,5089.04
ATF3,GPR143,5084.75
PGR,LRRC39,5063.38
PGR,COX7B,5059.89
EGR1,CRYAB,5058.06
IRF1,ADAM12,5045.79
ATF3,TRAPPC1,5032.64
AR,SPARCL1,5028.42
EGR1,FXYD1,4998.23
AR,RARRES2,4988.26
PGR,SLC25A6,4975.99
ID2,ACTG2,4947.74
PGR,PAIP2,4924.85
ATF3,COL1A1,4919.99
HOXA11,ACTG2,4916.48
TCF4,CHODL,4901.95
PGR,TPM2,4900.74
JUN,COL6A2,4894.33
MAF,FXYD6,4891.12
FOS,NFKBIA,4887.63
TCF4,FKBP5,4884.24
IRF1,SPARCL1,4881.79
PBX1,LMOD1,4845.56
ATF3,MRGPRF,4843.02
EGR1,HOXA10,4832.41
ATF3,HOXD11,4829.2
PGR,LDLR,4817.25
ATF3,KCNMB1,4808.63
EGR1,MFAP2,4807.2
AR,EFEMP2,4794.78
PRRX1,ALDH1A2,4778.02
AR,C1S,4765.73
JUN,JUN,4760.27
EGR1,PMEL,4759.77
FOSB,ZMAT3,4755.84
GATA6,JUN,4747.14
JUN,KCNMB1,4746.71
PGR,CNN3,4745.02
GATA6,COL1A1,4739.61
MITF,RARRES2,4732.85
JUN,SMOC2,4719.31
PGR,PDCD4,4691.34
AR,MGP,4687.9
AR,FILIP1L,4675.67
EGR1,MYL9,4661.44
AR,NACA,4640.45
PGR,LONRF1,4635.63
PGR,MYL9,4627.09
AR,RRAGD,4609.94
ATF3,FOS,4605.02
AR,GDF15,4596.57
PGR,PPP1R12B,4594.67
FOSB,PTMS,4585.92
PGR,BTF3,4584.19
AR,LBH,4574.4
AR,UQCC2,4567.43
ATF3,CNN3,4565.27
PGR,TMEM176A,4541.27
AR,MOXD1,4536.86
ATF3,HAND2,4530.53
ATF3,CHODL,4528.45
JUN,MRGPRF,4523.73
TCF12,SYNPO2,4515.23
GATA6,TIMP2,4500.92
PGR,RRAGD,4492.48
NFIA,FBXO32,4475.51
FOS,LDLR,4457.38
AR,FOS,4456.7
TCF12,FBXO32,4453.12
AR,PDCD4,4452.02
EGR1,SUMO2,4451.4
MITF,ADAM12,4440.86
ATF3,COX7A1,4438.16
AR,PPP2R1A,4430.13
AR,LRRC39,4427.81
PBX3,USP53,4414.4
PGR,ZFP36L2,4410.13
AR,COX7B,4395.21
AR,ANGPTL2,4391.66
MAF,ACTA2,4389.59
FOSB,ST13,4386.5
PGR,FOS,4381.37
JUN,HOXA10,4377.37
PGR,HOXA11,4368.42
FOSB,GLIPR2,4364.74
AR,ACTA2,4363.51
PGR,UQCC2,4358.63
PGR,C1R,4351.19
AR,PKM,4340.36
PGR,RARRES2,4323.73
HOXD11,TRIM63,4321.78
AR,HSPB8,4319.75
PGR,RHOA,4310.49
ATF3,MLPH,4297.13
MEIS2,ADAM12,4292.48
AR,PAIP2,4289.3
ATF3,PCBP1,4285.34
PGR,HSPA2,4274.15
MAF,COL1A1,4273.2
AR,UBE2D2,4264.5
FOS,TIMP2,4263.92
GATA6,ACTN1,4252.71
AR,TPM2,4250.21
PGR,SPARCL1,4235.05
PGR,FXYD1,4229.04
AR,RPL6,4226.55
EGR1,RPL5,4221.28
AR,MYL9,4218.62
AR,BTF3,4217.65
JUN,COL14A1,4208.31
AR,ZFP36L2,4196.84
FOS,COL5A2,4196.47
PGR,ABI3BP,4187.08
PBX3,HOXA10,4181.45
AR,ARPC2,4179.37
GATA6,EMX2,4165.71
PRRX1,PRELP,4160.82
FOSB,FKBP5,4160.22
PGR,PTGER3,4158.42
AR,GLIPR1,4157.5
AR,MDK,4155.32
ATF3,EFEMP2,4147.85
ATF3,ACTN1,4141.64
MAF,USP53,4122.07
MAF,SESN3,4109.36
EGR1,RPLP1,4107.63
TCF21,MFAP4,4096.84
AR,HNRNPA1,4081.57
ATF3,EMX2,4080
FOSB,DTNA,4079.88
FOSB,HAND2,4074.02
IRF1,MGP,4071.38
PGR,PMEL,4036.6
EGR1,OGN,4032.02
NR2F2,CHODL,4024.7
PGR,TUBA1A,4019.8
ATF3,RPLP1,4013.31
PGR,IGFN1,4012.41
HOXD11,SYNPO2,4003.16
PGR,DTNA,4000.38
PGR,RPL6,4000.35
FOSB,C1R,3993.49
PGR,SOD2,3987.2
PGR,COL4A1,3985.6
AR,FBLN1,3975.79
IRF1,USP53,3974.44
FOSB,ANK2,3973.83
PRRX1,TRIM63,3971.04
PGR,RAMP1,3963.53
PBX3,HHATL,3952.64
PGR,NACA,3937.93
ATF3,COX7B,3930.9
PBX1,RARRES2,3923.79
PBX3,FILIP1L,3918.85
PGR,ACTA2,3912.51
GATA6,PCP4,3911.81
EGR1,SLC25A6,3908.62
JUN,NFKBIA,3895.4
ATF3,TPM2,3892.65
PGR,ARPC2,3888.47
AR,PMEL,3883.27
AR,ANTXR1,3882.8
ATF3,TIMP2,3880.14
AR,RAMP1,3870.74
EGR1,GLIPR2,3864.9
PGR,RIC3,3863.74
MITF,TIMP2,3853.47
EGR1,IGFN1,3851.3
